"","age","job","marital","education","taxLien","mortgage","taxbill_in_phl","contact","month","day_of_week","campaign","pdays","previous","poutcome","unemploy_rate","cons.price.idx","cons.conf.idx","inflation_rate","spent_on_repairs","y","y_numeric"
"26",38,"technician","married","professional.course","no","yes","yes","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",1
"27",36,"technician","divorced","professional.course","no","no","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",0
"28",28,"blue-collar","married","basic.6y","unknown","no","yes","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no",0
"29",47,"admin.","single","unknown","unknown","no","yes","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",0
"30",34,"admin.","married","university.degree","no","no","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",0
"31",38,"technician","married","university.degree","no","yes","no","cellular","mar","tue",1,999,1,"failure",-1.8,92.843,-50,1.687,5099.1,"no",0
"32",33,"services","married","high.school","unknown","yes","yes","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no",0
"33",51,"technician","single","university.degree","no","no","yes","cellular","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no",0
"34",30,"blue-collar","single","basic.4y","unknown","yes","yes","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",0
"35",48,"technician","married","university.degree","no","no","yes","cellular","aug","thu",7,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no",0
"36",28,"blue-collar","single","basic.9y","no","yes","yes","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",0
"37",36,"blue-collar","married","basic.6y","no","yes","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",0
"38",46,"management","divorced","high.school","no","no","yes","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no",0
"39",31,"technician","single","unknown","no","yes","yes","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,"no",0
"40",20,"student","single","unknown","no","no","yes","cellular","oct","mon",3,999,3,"failure",-1.1,94.601,-49.5,0.977,4963.6,"no",0
"41",35,"services","married","high.school","unknown","yes","yes","cellular","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"no",0
"42",38,"blue-collar","married","basic.9y","unknown","unknown","no","telephone","jun","fri",1,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,"no",0
"43",76,"retired","married","university.degree","no","no","yes","cellular","aug","thu",1,999,1,"failure",-1.7,94.027,-38.3,0.899,4991.6,"no",0
"44",45,"entrepreneur","divorced","professional.course","no","yes","yes","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",0
"45",32,"housemaid","married","basic.4y","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no",0
"46",39,"management","single","university.degree","unknown","no","yes","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",0
"47",32,"admin.","married","university.degree","no","no","yes","telephone","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.592,5195.8,"no",0
"48",29,"admin.","single","basic.9y","no","no","yes","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no",0
"49",44,"services","married","professional.course","no","no","yes","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no",0
"50",32,"services","married","high.school","no","no","no","cellular","jul","fri",3,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",0
"51",56,"retired","married","university.degree","no","yes","yes","cellular","jun","wed",1,999,2,"failure",-2.9,92.963,-40.8,1.26,5076.2,"no",0
"52",33,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",0
"53",39,"management","married","high.school","no","no","yes","cellular","aug","fri",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",0
"54",24,"technician","married","university.degree","no","yes","no","cellular","sep","tue",2,3,1,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes",1
"55",33,"admin.","single","university.degree","no","yes","yes","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",0
"56",58,"entrepreneur","divorced","university.degree","no","no","yes","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,"no",0
"57",29,"admin.","single","university.degree","no","yes","yes","telephone","jun","fri",27,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",0
"58",31,"admin.","married","university.degree","no","yes","yes","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",0
"59",27,"admin.","married","university.degree","no","no","yes","telephone","may","wed",5,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"60",60,"admin.","divorced","professional.course","no","yes","yes","cellular","sep","wed",1,999,1,"failure",-1.1,94.199,-37.5,0.886,4963.6,"yes",1
"61",55,"entrepreneur","married","professional.course","no","yes","no","cellular","oct","mon",1,999,2,"failure",-3.4,92.431,-26.9,0.739,5017.5,"no",0
"62",37,"blue-collar","married","basic.9y","no","yes","yes","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no",0
"63",52,"admin.","married","unknown","no","yes","yes","telephone","apr","wed",1,6,1,"success",-1.8,93.749,-34.6,0.654,5008.7,"yes",1
"64",46,"services","married","high.school","no","yes","yes","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"65",42,"blue-collar","divorced","basic.6y","no","yes","yes","cellular","may","wed",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no",0
"66",35,"admin.","single","university.degree","no","yes","yes","cellular","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",0
"67",49,"technician","divorced","unknown","no","yes","no","cellular","oct","thu",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.754,5017.5,"no",0
"68",29,"services","divorced","high.school","no","no","no","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no",0
"69",32,"blue-collar","married","basic.9y","no","no","yes","cellular","nov","mon",2,5,1,"success",-0.1,93.2,-42,4.191,5195.8,"yes",1
"70",37,"self-employed","married","university.degree","no","no","yes","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no",0
"71",39,"technician","single","professional.course","unknown","no","yes","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes",1
"72",51,"services","married","high.school","unknown","yes","yes","telephone","jul","mon",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",1
"73",28,"admin.","single","high.school","no","yes","yes","cellular","may","tue",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"no",0
"74",34,"management","married","university.degree","no","yes","yes","cellular","may","wed",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no",0
"75",31,"technician","single","high.school","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",1
"76",31,"admin.","married","university.degree","no","yes","yes","cellular","aug","thu",5,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no",0
"77",31,"admin.","single","university.degree","no","yes","yes","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",0
"78",38,"self-employed","single","university.degree","no","no","yes","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",0
"79",33,"unemployed","married","basic.9y","no","no","yes","telephone","jun","fri",6,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",0
"80",32,"technician","single","university.degree","no","no","yes","cellular","aug","tue",12,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",0
"81",54,"technician","married","professional.course","unknown","yes","yes","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"82",41,"admin.","divorced","high.school","no","yes","yes","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",0
"83",59,"services","married","basic.4y","unknown","no","yes","cellular","aug","thu",7,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",0
"84",57,"retired","married","university.degree","no","yes","yes","cellular","apr","thu",1,2,1,"success",-1.8,93.075,-47.1,1.365,5099.1,"no",0
"85",38,"entrepreneur","divorced","university.degree","no","yes","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",0
"86",46,"admin.","married","university.degree","no","yes","yes","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"87",37,"unemployed","single","university.degree","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",0
"88",47,"services","single","basic.9y","no","unknown","no","telephone","jun","thu",3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes",1
"89",45,"admin.","single","university.degree","no","no","yes","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",1
"90",36,"blue-collar","married","basic.6y","no","yes","yes","telephone","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",0
"91",40,"unemployed","single","high.school","no","yes","yes","cellular","jul","mon",5,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",0
"92",38,"blue-collar","married","basic.9y","no","no","yes","cellular","nov","tue",2,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no",0
"93",44,"blue-collar","married","high.school","unknown","no","yes","telephone","jun","tue",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",0
"94",25,"self-employed","married","university.degree","no","yes","yes","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"95",30,"blue-collar","single","basic.6y","no","yes","yes","telephone","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",0
"96",43,"management","married","professional.course","no","no","yes","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",0
"97",58,"retired","married","basic.6y","unknown","no","yes","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"98",31,"technician","married","professional.course","no","yes","yes","telephone","may","wed",6,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",0
"99",53,"management","married","university.degree","no","no","yes","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",0
"100",52,"admin.","married","unknown","no","no","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no",0
"101",37,"management","married","university.degree","unknown","no","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"102",58,"admin.","married","high.school","unknown","yes","yes","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",0
"103",37,"services","married","high.school","no","yes","no","cellular","may","thu",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"no",0
"104",38,"admin.","single","unknown","no","yes","yes","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no",0
"105",33,"services","single","basic.9y","no","yes","yes","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"no",0
"106",45,"services","married","high.school","unknown","yes","yes","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no",0
"107",44,"entrepreneur","married","professional.course","no","no","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",0
"108",38,"blue-collar","married","basic.6y","no","yes","yes","telephone","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.966,5228.1,"no",0
"109",34,"blue-collar","married","basic.9y","no","no","yes","telephone","jun","tue",1,999,0,"nonexistent",-1.7,94.055,-39.8,0.702,4991.6,"no",0
"110",47,"management","married","university.degree","no","yes","yes","cellular","jul","wed",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.029,5076.2,"no",0
"111",59,"admin.","married","university.degree","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",-2.9,92.469,-33.6,1.085,5076.2,"no",0
"112",51,"blue-collar","married","basic.4y","unknown","yes","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",0
"113",31,"blue-collar","married","basic.6y","no","yes","yes","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",0
"114",56,"management","married","university.degree","no","yes","no","cellular","nov","wed",1,999,1,"failure",-0.1,93.2,-42,4.12,5195.8,"no",0
"115",39,"admin.","married","university.degree","no","no","yes","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",0
"116",41,"entrepreneur","married","university.degree","no","yes","yes","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes",1
"117",41,"management","divorced","basic.6y","no","yes","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",0
"118",53,"services","married","high.school","unknown","no","yes","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",0
"119",35,"blue-collar","married","high.school","no","no","no","cellular","jul","mon",4,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",0
"120",58,"retired","married","basic.9y","no","no","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no",0
"121",25,"self-employed","married","professional.course","no","yes","yes","telephone","jun","wed",2,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",0
"122",35,"blue-collar","divorced","basic.9y","no","yes","yes","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.344,5099.1,"no",0
"123",28,"services","single","high.school","no","no","yes","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",0
"124",55,"blue-collar","married","professional.course","no","yes","no","cellular","may","fri",3,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"no",0
"125",54,"entrepreneur","married","basic.4y","unknown","no","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",0
"126",45,"technician","divorced","basic.9y","unknown","no","yes","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",0
"127",32,"blue-collar","married","basic.9y","no","yes","yes","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no",0
"128",50,"admin.","married","basic.9y","unknown","yes","yes","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",0
"129",75,"retired","married","basic.4y","no","no","yes","cellular","apr","tue",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,"yes",1
"130",33,"self-employed","divorced","unknown","no","no","yes","telephone","may","wed",4,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",0
"131",29,"management","married","university.degree","no","no","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no",0
"132",45,"management","married","university.degree","no","yes","yes","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",0
"133",38,"admin.","divorced","university.degree","no","no","yes","cellular","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.392,5099.1,"yes",1
"134",24,"services","single","professional.course","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",0
"135",41,"technician","married","professional.course","no","yes","yes","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",0
"136",58,"retired","divorced","high.school","no","yes","yes","cellular","jun","tue",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"yes",1
"137",34,"admin.","married","university.degree","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"138",34,"admin.","married","university.degree","no","no","yes","cellular","nov","mon",2,999,0,"nonexistent",-1.1,94.767,-50.8,1.05,4963.6,"no",0
"139",37,"technician","divorced","professional.course","no","no","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",0
"140",53,"blue-collar","divorced","basic.4y","no","no","yes","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",1
"141",54,"technician","divorced","professional.course","no","yes","no","cellular","jul","tue",14,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",0
"142",32,"technician","divorced","professional.course","no","yes","yes","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",0
"143",42,"admin.","married","high.school","no","yes","yes","cellular","jul","fri",6,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",0
"144",28,"technician","single","professional.course","no","yes","yes","cellular","aug","thu",2,3,1,"success",-2.9,92.201,-31.4,0.851,5076.2,"yes",1
"145",33,"services","single","high.school","no","yes","yes","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",0
"146",41,"blue-collar","married","basic.9y","no","yes","yes","cellular","apr","mon",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",0
"147",31,"services","married","high.school","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",0
"148",40,"technician","married","basic.9y","unknown","no","no","telephone","may","thu",4,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",0
"149",53,"unknown","married","basic.9y","no","no","no","cellular","nov","wed",1,999,1,"failure",-3.4,92.649,-30.1,0.716,5017.5,"no",0
"150",40,"admin.","divorced","university.degree","no","yes","yes","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",0
"151",82,"housemaid","married","basic.4y","no","no","yes","telephone","sep","tue",3,3,2,"success",-1.1,94.199,-37.5,0.877,4963.6,"yes",1
"152",28,"blue-collar","married","basic.4y","no","yes","yes","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",0
"153",30,"admin.","married","high.school","unknown","yes","yes","cellular","nov","wed",3,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no",0
"154",31,"unemployed","single","university.degree","no","yes","yes","cellular","jul","tue",1,6,3,"success",-1.7,94.215,-40.3,0.835,4991.6,"yes",1
"155",32,"technician","single","university.degree","no","yes","yes","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",0
"156",54,"blue-collar","married","basic.4y","no","yes","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",0
"157",31,"blue-collar","married","basic.9y","no","no","yes","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no",0
"158",50,"services","married","unknown","no","yes","yes","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,"no",0
"159",47,"technician","single","unknown","no","no","yes","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no",0
"160",31,"admin.","single","high.school","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"no",0
"161",32,"unemployed","married","high.school","no","yes","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,"no",0
"162",46,"admin.","single","high.school","no","yes","yes","cellular","nov","mon",2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no",0
"163",47,"admin.","single","high.school","no","no","yes","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no",0
"164",32,"admin.","single","high.school","no","no","yes","cellular","nov","mon",2,999,2,"failure",-1.1,94.767,-50.8,1.048,4963.6,"no",0
"165",52,"services","divorced","high.school","unknown","no","yes","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no",0
"166",45,"admin.","married","high.school","no","yes","yes","cellular","oct","fri",3,6,1,"success",-1.1,94.601,-49.5,1.029,4963.6,"yes",1
"167",32,"admin.","married","university.degree","no","yes","yes","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no",0
"168",71,"blue-collar","divorced","basic.4y","unknown","no","yes","cellular","aug","thu",1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"no",0
"169",49,"services","married","high.school","no","yes","yes","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",0
"170",46,"admin.","married","high.school","no","yes","no","telephone","jun","wed",10,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",0
"171",46,"blue-collar","married","professional.course","no","no","yes","cellular","nov","fri",1,999,0,"nonexistent",-1.1,94.767,-50.8,1.028,4963.6,"no",0
"172",38,"admin.","married","university.degree","no","yes","yes","cellular","aug","tue",6,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",0
"173",57,"services","married","professional.course","unknown","no","yes","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",0
"174",41,"services","single","high.school","unknown","unknown","no","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no",0
"175",44,"technician","married","professional.course","no","no","yes","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,"no",0
"176",47,"technician","married","university.degree","no","yes","yes","cellular","aug","wed",7,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",0
"177",40,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",0
"178",57,"retired","single","professional.course","no","yes","yes","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"179",27,"admin.","single","unknown","no","no","yes","cellular","mar","tue",1,3,1,"success",-1.8,93.369,-34.8,0.637,5008.7,"yes",1
"180",52,"blue-collar","married","basic.9y","no","no","yes","cellular","aug","fri",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",1
"181",34,"management","married","university.degree","no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,"no",0
"182",42,"entrepreneur","married","university.degree","no","yes","yes","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",0
"183",51,"technician","married","unknown","no","yes","yes","telephone","jun","fri",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,"no",0
"184",45,"management","married","basic.4y","unknown","yes","yes","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no",0
"185",56,"retired","married","high.school","no","no","yes","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"no",0
