SeniorCitizen,WeekendBouncer,avgBounceTime,bounceInStreet,PaperlessBilling,monthlyDistanceBounced,totalDistanceBounced,Churn,phoneType,avgBounceDistance,avgBounceHeight
No,No,42,Yes,Yes,103.8,4327.5,No_Churn,Android,1-4 ft.,<1 ft.
No,No,49,Yes,Yes,20.15,973.35,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,9,Yes,Yes,99.3,918.75,No_Churn,Android,<1 ft.,<1 ft.
No,No,35,Yes,Yes,62.15,2215.45,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,48,Yes,No,20.65,1057,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,46,Yes,Yes,19.95,927.1,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,29,No,No,33.75,1009.25,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,30,Yes,No,82.05,2570.2,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,1,Yes,No,74.7,74.7,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,66,Yes,Yes,84,5714.25,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,65,Yes,Yes,111.05,7107,No_Churn,Android,<1 ft.,<1 ft.
No,No,72,Yes,Yes,100.9,7459.05,No_Churn,Android,<1 ft.,2+ ft.
No,No,12,Yes,Yes,78.95,927.35,Churn,Android,<1 ft.,<1 ft.
No,Yes,71,Yes,Yes,66.85,4748.7,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,5,Yes,No,21.05,113.85,Churn,IPhone,4+ ft.,<1 ft.
No,No,52,Yes,No,21,1107.2,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,25,Yes,Yes,98.5,2514.5,Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,No,20.2,20.2,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,1,Yes,No,19.45,19.45,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,38,Yes,No,95,3605.6,No_Churn,Android,1-4 ft.,1-2 ft.
Yes,No,66,No,No,45.55,3027.25,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,68,Yes,Yes,110,7611.85,Churn,Android,1-4 ft.,2+ ft.
No,No,5,No,No,24.3,100.2,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,72,Yes,Yes,104.15,7303.05,No_Churn,Android,<1 ft.,1-2 ft.
No,No,32,No,No,30.15,927.65,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,43,Yes,No,94.35,3921.3,No_Churn,Android,<1 ft.,1-2 ft.
No,Yes,72,Yes,No,19.4,1363.25,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,55,Yes,Yes,96.75,5238.9,Churn,Android,<1 ft.,<1 ft.
No,No,52,Yes,No,57.95,3042.25,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,43,Yes,Yes,91.65,3954.1,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,37,Yes,Yes,76.5,2868.15,Churn,Android,<1 ft.,<1 ft.
No,Yes,64,No,Yes,54.6,3423.5,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,3,Yes,No,89.85,248.4,No_Churn,Android,<1 ft.,<1 ft.
No,No,36,No,No,31.05,1126.35,No_Churn,Unknown,<1 ft.,2+ ft.
No,Yes,10,Yes,Yes,100.25,1064.65,Churn,Android,<1 ft.,<1 ft.
No,No,41,Yes,No,20.65,835.15,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,27,Yes,Yes,85.2,2151.6,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,56,Yes,Yes,99.8,5515.45,No_Churn,Android,<1 ft.,1-2 ft.
No,No,6,Yes,No,20.7,112.75,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,3,Yes,Yes,74.4,229.55,Churn,Android,<1 ft.,<1 ft.
No,Yes,7,Yes,No,50.7,350.35,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,4,Yes,No,20.85,62.9,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,33,Yes,Yes,88.95,3027.65,No_Churn,Android,1-4 ft.,2+ ft.
Yes,No,27,Yes,Yes,78.05,2135.5,Churn,Android,<1 ft.,<1 ft.
No,No,72,Yes,Yes,23.55,1723.95,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,1,Yes,No,19.75,19.75,No_Churn,IPhone,4+ ft.,<1 ft.
Yes,No,71,No,Yes,56.45,3985.35,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,13,Yes,Yes,85.95,1215.65,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,25,No,Yes,58.6,1502.65,Churn,Unknown,<1 ft.,<1 ft.
No,No,67,Yes,No,50.55,3260.1,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,1,No,Yes,35.45,35.45,Churn,Unknown,<1 ft.,<1 ft.
No,No,2,Yes,No,44.35,81.25,Churn,Unknown,<1 ft.,<1 ft.
No,No,43,Yes,Yes,25.7,1188.2,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,23,Yes,Yes,75,1778.5,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,64,Yes,No,20.2,1277.75,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,57,Yes,Yes,19.6,1170.55,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,1,Yes,Yes,70.45,70.45,Churn,Android,<1 ft.,<1 ft.
Yes,Yes,72,Yes,Yes,88.05,6425.65,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,8,Yes,No,71.15,563.65,Churn,Unknown,1-4 ft.,<1 ft.
No,No,61,Yes,Yes,101.05,5971.25,No_Churn,Android,<1 ft.,2+ ft.
No,No,64,Yes,Yes,84.3,5289.05,No_Churn,Android,<1 ft.,1-2 ft.
Yes,No,71,Yes,No,23.95,1756.2,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,65,Yes,Yes,99.05,6416.7,No_Churn,Android,1-4 ft.,2+ ft.
No,No,3,Yes,No,19.6,61.35,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,1,Yes,Yes,45.65,45.65,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,30,Yes,No,64.5,1929.95,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,15,Yes,Yes,69.5,1071.4,No_Churn,Unknown,1-4 ft.,<1 ft.
No,Yes,8,Yes,Yes,68.55,564.35,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,7,Yes,No,95,655.5,Churn,Android,<1 ft.,<1 ft.
No,Yes,70,Yes,Yes,108.15,7930.55,No_Churn,Android,<1 ft.,1-2 ft.
No,Yes,62,Yes,No,86.1,5215.25,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,6,Yes,No,19.7,113.5,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,14,Yes,Yes,80.9,1152.8,No_Churn,Android,<1 ft.,<1 ft.
No,No,22,Yes,Yes,84.15,1821.95,No_Churn,Android,<1 ft.,<1 ft.
No,Yes,22,Yes,No,20.15,419.9,No_Churn,IPhone,4+ ft.,1-2 ft.
No,Yes,16,Yes,No,64.25,1024,No_Churn,Unknown,<1 ft.,2+ ft.
No,No,10,Yes,No,25.7,251.6,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,13,Yes,Yes,56,764.55,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,20,Yes,No,82.4,1592.35,Churn,Android,<1 ft.,<1 ft.
No,No,2,Yes,Yes,69.7,135.2,No_Churn,Android,<1 ft.,<1 ft.
No,No,53,Yes,Yes,73.9,3958.25,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,11,Yes,No,20.6,233.9,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,69,Yes,No,19.9,1363.45,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,4,Yes,Yes,70.9,273,Churn,Android,<1 ft.,<1 ft.
No,No,72,Yes,Yes,89.05,6254.45,No_Churn,Unknown,1-4 ft.,2+ ft.
Yes,No,58,No,Yes,45.3,2651.2,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,16,Yes,No,20.4,321.4,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,43,Yes,Yes,84.25,3539.25,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,2,Yes,Yes,104.4,242.8,Churn,Android,1-4 ft.,<1 ft.
No,No,14,Yes,No,81.95,1181.75,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,53,Yes,Yes,94.85,5000.2,Churn,Android,<1 ft.,1-2 ft.
No,No,32,Yes,No,20.55,654.55,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,34,Yes,No,24.7,780.2,No_Churn,IPhone,4+ ft.,<1 ft.
Yes,No,15,Yes,Yes,74.45,1145.7,Churn,Android,<1 ft.,<1 ft.
Yes,No,7,Yes,No,76.45,503.6,Churn,Android,<1 ft.,<1 ft.
No,Yes,15,Yes,Yes,105.35,1559.25,No_Churn,Android,<1 ft.,<1 ft.
No,No,61,Yes,Yes,20.55,1252,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,1,No,No,29.95,29.95,Churn,Unknown,<1 ft.,<1 ft.
No,No,1,Yes,No,45.3,45.3,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,8,Yes,No,84.5,662.65,Churn,Android,<1 ft.,<1 ft.
No,Yes,33,Yes,No,74.75,2453.3,No_Churn,Unknown,<1 ft.,1-2 ft.
No,No,13,Yes,Yes,79.25,1111.65,Churn,Android,<1 ft.,<1 ft.
No,No,1,No,Yes,24.8,24.8,Churn,Unknown,<1 ft.,<1 ft.
No,No,20,Yes,Yes,51.8,1023.85,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,3,No,No,30.4,82.15,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,13,Yes,No,19.65,244.8,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,40,Yes,No,56.6,2379.1,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,43,Yes,Yes,71.9,3173.35,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,6,Yes,Yes,91,531,Churn,Android,<1 ft.,<1 ft.
No,Yes,69,Yes,No,19.75,1375.4,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,72,Yes,No,109.7,8129.3,No_Churn,Android,<1 ft.,2+ ft.
No,Yes,59,Yes,No,19.3,1192.7,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,20,Yes,Yes,96.55,1901.65,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,24,Yes,Yes,24.1,587.4,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,59,Yes,Yes,111.35,6519.75,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,72,Yes,Yes,112.25,8041.65,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,1,Yes,No,20.75,20.75,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,27,Yes,Yes,101.9,2681.15,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,14,Yes,Yes,80.05,1112.3,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,71,Yes,No,105.55,7405.5,No_Churn,Android,<1 ft.,2+ ft.
No,Yes,13,Yes,Yes,78.3,1033.95,No_Churn,Android,<1 ft.,<1 ft.
No,No,44,Yes,No,68.85,2958.95,No_Churn,Android,<1 ft.,<1 ft.
No,No,33,Yes,Yes,79.95,2684.85,No_Churn,Android,1-4 ft.,1-2 ft.
No,Yes,72,No,Yes,55.45,4179.2,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,1,Yes,No,79.9,79.9,Churn,Android,<1 ft.,<1 ft.
No,No,19,Yes,Yes,106.6,1934.45,Churn,Android,1-4 ft.,<1 ft.
No,No,64,Yes,Yes,102.45,6654.1,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,2,Yes,Yes,46,84.5,Churn,Unknown,<1 ft.,<1 ft.
No,No,1,No,No,25.25,25.25,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,61,Yes,No,19.75,1124.2,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,29,Yes,No,20,540.05,No_Churn,IPhone,4+ ft.,1-2 ft.
Yes,No,23,Yes,No,86.8,1975.85,No_Churn,Android,<1 ft.,<1 ft.
No,No,57,No,Yes,58.75,3437.45,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,72,No,No,45.25,3139.8,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,66,No,Yes,56.6,3789.2,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,65,Yes,Yes,84.2,5324.5,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,8,Yes,Yes,80,624.6,No_Churn,Android,<1 ft.,<1 ft.
No,No,4,Yes,Yes,70.15,268.35,Churn,Android,<1 ft.,<1 ft.
No,No,71,Yes,No,24.75,1836.9,No_Churn,IPhone,4+ ft.,2+ ft.
No,Yes,1,Yes,Yes,20.2,20.2,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,4,Yes,No,50.05,179.35,Churn,Unknown,1-4 ft.,<1 ft.
No,No,12,Yes,Yes,19.35,219.35,No_Churn,IPhone,4+ ft.,1-2 ft.
No,No,24,No,Yes,50.6,1288.75,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,31,Yes,Yes,81.15,2545.75,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,1,Yes,No,55.2,55.2,Churn,Unknown,<1 ft.,<1 ft.
No,No,30,Yes,Yes,89.9,2723.15,No_Churn,Android,1-4 ft.,<1 ft.
No,Yes,47,Yes,Yes,85.3,4107.25,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,54,Yes,Yes,108,5760.65,No_Churn,Android,1-4 ft.,2+ ft.
No,No,50,Yes,Yes,93.5,4747.5,No_Churn,Android,1-4 ft.,<1 ft.
No,No,1,Yes,Yes,84.6,84.6,Churn,Android,<1 ft.,<1 ft.
No,No,72,Yes,No,20.25,1566.9,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,29,Yes,No,25.15,702,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,2,Yes,Yes,54.4,114.1,Churn,Unknown,<1 ft.,<1 ft.
No,No,10,No,Yes,29.6,299.05,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,18,Yes,Yes,73.15,1305.95,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,11,Yes,Yes,95,1120.3,Churn,Android,<1 ft.,<1 ft.
No,No,16,Yes,No,19.75,284.35,No_Churn,IPhone,4+ ft.,2+ ft.
No,No,72,Yes,No,86.6,6350.5,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,72,Yes,No,109.2,7878.3,No_Churn,Android,1-4 ft.,2+ ft.
No,Yes,41,Yes,Yes,74.7,3187.65,No_Churn,Unknown,1-4 ft.,1-2 ft.
Yes,No,65,Yes,No,94.4,6126.15,No_Churn,Android,<1 ft.,<1 ft.
Yes,No,13,Yes,Yes,54.8,731.3,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,4,Yes,No,75.35,273.4,No_Churn,Android,<1 ft.,<1 ft.
No,No,41,Yes,No,65,2531.8,No_Churn,Unknown,<1 ft.,1-2 ft.
Yes,No,15,Yes,Yes,74.4,1074.3,Churn,Android,<1 ft.,<1 ft.
No,No,1,Yes,Yes,48.55,48.55,Churn,Unknown,<1 ft.,<1 ft.
No,No,42,Yes,Yes,99,4298.45,No_Churn,Android,<1 ft.,1-2 ft.
No,No,51,Yes,Yes,93.5,4619.55,No_Churn,Android,<1 ft.,1-2 ft.
No,Yes,2,Yes,No,70.4,147.15,Churn,Android,<1 ft.,<1 ft.
Yes,No,1,No,No,40.2,40.2,Churn,Unknown,<1 ft.,<1 ft.
No,Yes,32,Yes,No,83.7,2633.3,No_Churn,Unknown,1-4 ft.,1-2 ft.
No,No,10,Yes,Yes,19.85,193.05,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,67,No,Yes,59.55,4103.9,No_Churn,Unknown,1-4 ft.,2+ ft.
No,Yes,61,Yes,No,115.1,7008.15,No_Churn,Android,1-4 ft.,2+ ft.
No,No,50,Yes,No,114.35,5791.1,No_Churn,Android,1-4 ft.,1-2 ft.
No,No,2,Yes,Yes,44.6,80.55,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,29,No,Yes,45,1228.65,No_Churn,Unknown,<1 ft.,<1 ft.
Yes,No,3,No,Yes,41.15,132.2,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,13,Yes,Yes,106.9,1364.3,Churn,Android,<1 ft.,<1 ft.
Yes,No,57,Yes,Yes,89.85,4925.35,No_Churn,Android,<1 ft.,<1 ft.
No,No,31,No,Yes,49.85,1520.1,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,45,Yes,No,113.3,5032.25,No_Churn,Android,1-4 ft.,1-2 ft.
No,Yes,61,Yes,No,88.1,5526.75,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,50,Yes,No,24.9,1195.25,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,19,Yes,Yes,105,2007.25,No_Churn,Android,1-4 ft.,<1 ft.
No,No,59,Yes,No,19.35,1099.6,Churn,IPhone,4+ ft.,2+ ft.
No,No,71,Yes,Yes,24.25,1732.95,No_Churn,IPhone,4+ ft.,2+ ft.
Yes,No,16,Yes,Yes,94.45,1511.2,Churn,Android,1-4 ft.,<1 ft.
No,No,57,Yes,Yes,59.75,3450.15,No_Churn,Unknown,1-4 ft.,2+ ft.
No,No,1,No,No,24.8,24.8,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,20,Yes,No,107.05,2172.05,No_Churn,Android,1-4 ft.,<1 ft.
No,No,1,Yes,No,70.6,70.6,Churn,Android,<1 ft.,<1 ft.
No,No,5,Yes,Yes,85.4,401.1,Churn,Android,1-4 ft.,<1 ft.
No,No,52,Yes,Yes,105.05,5624.85,Churn,Android,<1 ft.,<1 ft.
Yes,No,21,Yes,Yes,64.95,1339.8,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,14,No,Yes,55,771.95,No_Churn,Unknown,1-4 ft.,<1 ft.
No,No,5,Yes,No,50.55,244.75,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,6,Yes,No,55.15,322.9,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,10,Yes,No,51.2,498.25,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,1,Yes,No,25.4,25.4,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,68,Yes,No,54.45,3687.75,No_Churn,Unknown,<1 ft.,<1 ft.
No,Yes,18,Yes,No,95.15,1779.95,Churn,Android,<1 ft.,<1 ft.
No,No,22,Yes,Yes,76,1783.6,No_Churn,Android,<1 ft.,1-2 ft.
No,No,20,Yes,Yes,44.35,927.15,No_Churn,Unknown,<1 ft.,<1 ft.
No,No,1,Yes,No,70,70,Churn,Android,<1 ft.,<1 ft.
Yes,No,8,Yes,Yes,74.5,606.55,Churn,Android,<1 ft.,<1 ft.
No,No,10,Yes,Yes,44.85,435.4,Churn,Unknown,<1 ft.,<1 ft.
Yes,No,24,Yes,Yes,76.1,1712.7,Churn,Android,<1 ft.,<1 ft.
No,No,35,Yes,No,61.2,2021.2,No_Churn,Unknown,<1 ft.,1-2 ft.
No,Yes,23,Yes,No,86.8,1940.8,No_Churn,Android,1-4 ft.,1-2 ft.
Yes,No,6,Yes,Yes,89.35,567.8,No_Churn,Android,<1 ft.,<1 ft.
No,No,12,Yes,No,19.7,220.35,No_Churn,IPhone,4+ ft.,<1 ft.
No,No,1,Yes,No,20.25,20.25,No_Churn,IPhone,4+ ft.,<1 ft.
No,Yes,71,Yes,No,76.05,5436.45,No_Churn,Android,<1 ft.,2+ ft.
Yes,No,35,Yes,Yes,100.8,3437.5,No_Churn,Android,<1 ft.,<1 ft.
